elapsed_s,iters,behaviors,fingerprints,since_new_behavior,corpus_size,solver_invocations,solver_seeds
41.321,20605,12,4,20476,4,0,0
41.572,20735,12,4,20606,4,0,0
41.823,20863,12,4,20733,4,0,0
42.074,20991,12,4,20861,4,0,0
42.326,21124,12,4,20994,4,0,0
42.576,21249,12,4,21119,4,0,0
42.826,21378,12,4,21248,4,0,0
43.078,21497,12,4,21367,4,0,0
43.329,21632,12,4,21501,4,0,0
43.58,21762,12,4,21631,4,0,0
43.832,21892,12,4,21761,4,0,0
44.083,22019,12,4,21888,4,0,0
44.335,22146,12,4,22015,4,0,0
44.585,22277,12,4,22146,4,0,0
44.836,22404,12,4,22272,4,0,0
45.087,22527,12,4,22395,4,0,0
45.338,22666,12,4,22534,4,0,0
45.589,22783,12,4,22651,4,0,0
45.84,22904,12,4,22772,4,0,0
46.091,23015,12,4,22883,4,0,0
46.342,23123,12,4,22990,4,0,0
46.593,23238,12,4,23105,4,0,0
46.844,23372,12,4,23239,4,0,0
47.094,23510,12,4,23377,4,0,0
47.345,23637,12,4,23504,4,0,0
47.596,23766,12,4,23633,4,0,0
47.848,23894,12,4,23760,4,0,0
48.1,24018,12,4,23884,4,0,0
48.351,24143,12,4,24009,4,0,0
48.602,24273,12,4,24139,4,0,0
48.852,24404,12,4,24270,4,0,0
49.103,24516,12,4,24382,4,0,0
49.355,24627,12,4,24492,4,0,0
49.606,24740,12,4,24605,4,0,0
49.858,24866,12,4,24731,4,0,0
50.11,24987,12,4,24852,4,0,0
50.361,25120,12,4,24985,4,0,0
50.612,25244,12,4,25109,4,0,0
50.864,25373,12,4,25237,4,0,0
51.116,25502,12,4,25366,4,0,0
51.366,25629,12,4,25493,4,0,0
51.618,25742,12,4,25606,4,0,0
51.869,25858,12,4,25722,4,0,0
52.12,25980,12,4,25844,4,0,0
52.371,26103,12,4,25966,4,0,0
52.624,26235,12,4,26098,4,0,0
52.875,26357,12,4,26220,4,0,0
53.126,26471,12,4,26334,4,0,0
53.376,26582,12,4,26445,4,0,0
53.628,26699,12,4,26562,4,0,0
53.879,26814,12,4,26676,4,0,0
54.131,26945,12,4,26807,4,0,0
54.381,27083,12,4,26945,4,0,0
54.633,27217,12,4,27079,4,0,0
54.883,27348,12,4,27210,4,0,0
55.134,27482,12,4,27344,4,0,0
55.384,27619,12,4,27480,4,0,0
55.635,27733,12,4,27594,4,0,0
55.887,27847,12,4,27708,4,0,0
56.137,27956,12,4,27817,4,0,0
56.388,28086,12,4,27947,4,0,0
56.638,28221,12,4,28082,4,0,0
56.89,28352,12,4,28212,4,0,0
57.141,28475,12,4,28335,4,0,0
57.393,28590,12,4,28450,4,0,0
57.645,28721,12,4,28581,4,0,0
57.895,28853,12,4,28713,4,0,0
58.146,28984,12,4,28844,4,0,0
58.396,29120,12,4,28979,4,0,0
58.648,29255,12,4,29114,4,0,0
58.898,29388,12,4,29247,4,0,0
59.15,29526,12,4,29385,4,0,0
59.4,29654,12,4,29512,4,0,0
59.651,29791,12,4,29649,4,0,0
59.902,29922,12,4,29779,4,0,0
